Default Sort	Region	Language Name	Language Tag	Lead Network	Status (also see Grafana)	URL	Notes							
1	Americas	English	en		Published (TSV format)	https://git.door43.org/Door43-Catalog/en_tn								
2	Americas	Portuguese	pt-BR		Published (md format)	https://git.door43.org/Door43-Catalog/pt-br_tn	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/221							
3	Americas	Spanish	es-419		Published (md format), BP tit TSV	https://git.door43.org/Door43-Catalog/es-419_tn/	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/325	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/603						
4	South Asia	Nepali	ne	HTS	Published (md format);TSV format published	https://git.door43.org/Door43-catalog/ne_tn	https://git.door43.org/hblamtari/ne_tn	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/455						
5	South Asia	Hindi	hi	BCS	Published (md format);TSV format published;  Published BP tit, eph, 1ti, 3jn Published BP 2ti, 2jn, (2ti has about 24 notes left blank that need to be supplied with the next update)	https://git.door43.org/Door43-Catalog/hi_tn	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/266	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/340	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/469	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/514	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/529	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/633		
6	South Asia	Bengali	bn	BCS	Published (md format), TSV format published (with fixed rc links)	https://git.door43.org/door43-catalog/bn_tn	https://git.door43.org/Door43/SourceTextRequestForm/issues/101	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/437	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/460					
7	South Asia	Gujarati	gu	BCS	Published (md format), TSV format published (with fixed rc links) Published BP tit, 3jn	https://git.door43.org/door43-catalog/gu_tn	https://git.door43.org/Door43/SourceTextRequestForm/issues/64	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/418	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/434	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/474	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/627			
8	South Asia	Punjabi	pa	BCS	Published (md format), STR submitted for TSV files (#480 content format issues)	https://git.door43.org/EXEGETICAL-BCS/pa_tN/src/branch/master/Level%203	https://git.door43.org/Door43/SourceTextRequestForm/issues/78	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/480						
9	South Asia	Oriya	or	BCS	Published (md format), TSV format published (with fixed rc links) Published BP tit, 3jn Publshed BP eph, 1ti, 2ti, 2jn	https://git.door43.org/Door43-Catalog/or_tn/	https://git.door43.org/Door43/SourceTextRequestForm/issues/133	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/473	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/561	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/640				
10	South Asia	Assamese	as	BCS	Published (md format), STR submitted for TSV files (#482 content format issues)	https://git.door43.org/EXEGETICAL-BCS/as_tN/src/branch/master/Stage%203	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/195	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/186	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/482					
